Total Size (X, Y): 30 x 30
Robot 1 Starting Point: 7, 20
Robot 2 Starting Point: 4, 1
Meeting Point: 30, 4
 Calculating Path for Robot 1
Considering Position <19, 7> at step 1
Considering Position <20, 7> at step 2
Considering Position <19, 8> at step 2
Considering Position <18, 7> at step 2
Considering Position <20, 8> at step 3
Considering Position <18, 8> at step 3
Considering Position <18, 8> at step 4
Considering Position <17, 7> at step 4
Considering Position <18, 9> at step 5
Considering Position <17, 8> at step 5
Considering Position <20, 8> at step 6
Considering Position <17, 8> at step 7
Considering Position <17, 6> at step 7
Considering Position <18, 10> at step 8
Considering Position <17, 9> at step 8
Considering Position <17, 9> at step 9
Considering Position <17, 10> at step 10
Considering Position <17, 10> at step 11
Considering Position <16, 9> at step 11
Considering Position <17, 11> at step 12
Considering Position <15, 9> at step 13
Considering Position <17, 12> at step 14
Considering Position <16, 11> at step 14
Considering Position <20, 9> at step 15
Considering Position <15, 10> at step 16
Considering Position <15, 8> at step 16
Considering Position <21, 9> at step 18
Considering Position <20, 10> at step 18
Considering Position <16, 6> at step 19
Considering Position <17, 5> at step 19
Considering Position <18, 12> at step 21
Considering Position <15, 6> at step 23
Considering Position <19, 12> at step 24
Considering Position <18, 13> at step 24
Considering Position <22, 9> at step 25
Considering Position <19, 13> at step 26
Considering Position <18, 14> at step 26
Considering Position <15, 7> at step 27
Considering Position <14, 6> at step 27
Considering Position <15, 5> at step 27
Considering Position <14, 8> at step 28
Considering Position <15, 7> at step 28
Considering Position <18, 15> at step 29
Considering Position <17, 14> at step 29
Considering Position <14, 7> at step 30
Considering Position <14, 7> at step 31
Considering Position <18, 5> at step 32
Considering Position <17, 4> at step 32
Considering Position <17, 15> at step 33
Considering Position <16, 14> at step 33
Considering Position <13, 7> at step 34
Considering Position <14, 6> at step 34
Considering Position <17, 15> at step 35
Considering Position <17, 16> at step 36
Considering Position <15, 14> at step 37
Considering Position <15, 4> at step 39
Considering Position <20, 12> at step 40
Considering Position <19, 13> at step 40
Considering Position <19, 11> at step 40
Considering Position <15, 15> at step 41
Considering Position <15, 13> at step 41
Considering Position <20, 13> at step 42
Considering Position <12, 7> at step 43
Considering Position <17, 17> at step 44
Considering Position <16, 16> at step 44
Considering Position <15, 16> at step 45
Considering Position <15, 16> at step 46
Considering Position <15, 17> at step 47
Considering Position <14, 16> at step 47
Considering Position <12, 8> at step 48
Considering Position <12, 6> at step 48
Considering Position <18, 17> at step 49
Considering Position <17, 18> at step 49
Considering Position <12, 9> at step 50
Considering Position <18, 18> at step 51
Considering Position <17, 19> at step 51
Considering Position <13, 9> at step 52
Considering Position <12, 10> at step 52
Considering Position <11, 9> at step 52
Considering Position <15, 18> at step 53
Considering Position <14, 17> at step 53
Considering Position <23, 9> at step 54
Considering Position <22, 10> at step 54
Considering Position <22, 8> at step 54
Considering Position <23, 10> at step 55
Considering Position <22, 11> at step 55
Considering Position <18, 19> at step 56
Considering Position <17, 20> at step 56
Considering Position <16, 19> at step 56
Considering Position <14, 17> at step 57
Considering Position <18, 4> at step 58
Considering Position <22, 12> at step 59
Considering Position <21, 11> at step 59
Considering Position <18, 20> at step 60
Considering Position <17, 21> at step 60
Considering Position <15, 19> at step 61
Considering Position <22, 13> at step 62
Considering Position <15, 20> at step 63
Considering Position <15, 18> at step 63
Considering Position <23, 13> at step 64
Considering Position <22, 14> at step 64
Considering Position <18, 4> at step 66
Considering Position <16, 4> at step 66
Considering Position <13, 10> at step 67
Considering Position <12, 11> at step 67
Considering Position <14, 18> at step 68
Considering Position <13, 17> at step 68
Considering Position <12, 12> at step 69
Considering Position <11, 11> at step 69
Considering Position <15, 18> at step 70
Considering Position <12, 17> at step 71
Considering Position <12, 13> at step 72
Considering Position <13, 13> at step 74
Considering Position <12, 14> at step 74
Considering Position <10, 9> at step 75
Considering Position <13, 14> at step 76
Considering Position <12, 15> at step 76
Considering Position <11, 14> at step 76
Considering Position <12, 16> at step 78
Considering Position <12, 17> at step 79
Considering Position <11, 16> at step 79
Considering Position <11, 6> at step 80
Considering Position <12, 5> at step 80
Considering Position <10, 14> at step 81
Considering Position <19, 17> at step 82
Considering Position <18, 18> at step 82
Considering Position <13, 10> at step 83
Considering Position <19, 18> at step 85
