Total Size (X, Y): 50 x 20
Robot 1 Starting Point: 6, 1
Robot 2 Starting Point: 2, 1
Meeting Point: 50, 1
 Calculating Path for Robot 1
Considering Position <0, 6> at step 1
Considering Position <1, 6> at step 2
Considering Position <0, 7> at step 2
Considering Position <1, 7> at step 3
Considering Position <1, 7> at step 4
Considering Position <2, 7> at step 5
Considering Position <1, 8> at step 5
Considering Position <2, 8> at step 6
Considering Position <2, 8> at step 7
Considering Position <3, 8> at step 8
Considering Position <2, 9> at step 8
Considering Position <3, 9> at step 9
Considering Position <2, 10> at step 9
Considering Position <3, 10> at step 10
Considering Position <2, 11> at step 10
Considering Position <1, 10> at step 10
Considering Position <1, 11> at step 11
Considering Position <3, 9> at step 12
Considering Position <1, 11> at step 13
Considering Position <0, 10> at step 13
Considering Position <1, 12> at step 14
Considering Position <0, 11> at step 14
Considering Position <3, 9> at step 15
Considering Position <4, 9> at step 16
Considering Position <1, 13> at step 17
Considering Position <0, 12> at step 17
Considering Position <2, 13> at step 18
Considering Position <1, 14> at step 18
Considering Position <0, 13> at step 18
Considering Position <2, 14> at step 19
Considering Position <0, 13> at step 21
Considering Position <0, 11> at step 21
Considering Position <3, 14> at step 23
Considering Position <2, 13> at step 23
Considering Position <0, 10> at step 25
Considering Position <0, 9> at step 26
Considering Position <4, 14> at step 27
Considering Position <3, 15> at step 27
Considering Position <3, 16> at step 28
Considering Position <4, 16> at step 29
Considering Position <3, 17> at step 29
Considering Position <2, 16> at step 29
Considering Position <4, 17> at step 30
Considering Position <3, 18> at step 30
Considering Position <2, 17> at step 30
Considering Position <4, 18> at step 31
Considering Position <3, 19> at step 31
Considering Position <3, 20> at step 32
Considering Position <4, 20> at step 33
Considering Position <3, 21> at step 33
Considering Position <4, 21> at step 34
Considering Position <3, 22> at step 34
Considering Position <2, 21> at step 34
Considering Position <4, 22> at step 35
Considering Position <3, 23> at step 35
Considering Position <2, 22> at step 35
Considering Position <4, 23> at step 36
Considering Position <3, 24> at step 36
Considering Position <2, 23> at step 36
Considering Position <4, 24> at step 37
Considering Position <3, 25> at step 37
Considering Position <2, 24> at step 37
Considering Position <4, 25> at step 38
Considering Position <3, 26> at step 38
Considering Position <2, 25> at step 38
Considering Position <4, 26> at step 39
Considering Position <3, 27> at step 39
Considering Position <4, 27> at step 40
Considering Position <3, 28> at step 40
Considering Position <2, 27> at step 40
Considering Position <4, 28> at step 41
Considering Position <3, 29> at step 41
Considering Position <4, 29> at step 42
Considering Position <3, 30> at step 42
Considering Position <2, 29> at step 42
Considering Position <4, 30> at step 43
Considering Position <3, 31> at step 43
Considering Position <2, 30> at step 43
Considering Position <4, 31> at step 44
Considering Position <3, 32> at step 44
Considering Position <2, 31> at step 44
Considering Position <4, 32> at step 45
Considering Position <2, 32> at step 45
Considering Position <1, 25> at step 46
Considering Position <2, 24> at step 46
Considering Position <5, 22> at step 47
Considering Position <4, 23> at step 47
Considering Position <4, 21> at step 47
Considering Position <2, 31> at step 48
Considering Position <1, 30> at step 48
Considering Position <2, 29> at step 48
Considering Position <2, 32> at step 49
Considering Position <1, 31> at step 49
Considering Position <2, 33> at step 50
Considering Position <5, 32> at step 52
Considering Position <4, 33> at step 52
Considering Position <4, 31> at step 52
Considering Position <2, 24> at step 53
Considering Position <1, 23> at step 53
Considering Position <2, 22> at step 53
Considering Position <2, 34> at step 54
Considering Position <5, 33> at step 55
Considering Position <3, 34> at step 57
Considering Position <2, 35> at step 57
Considering Position <1, 34> at step 57
Considering Position <5, 17> at step 58
Considering Position <4, 18> at step 58
Considering Position <4, 16> at step 58
Considering Position <5, 31> at step 59
Considering Position <4, 30> at step 59
Considering Position <3, 35> at step 60
Considering Position <4, 24> at step 61
Considering Position <5, 16> at step 62
Considering Position <5, 30> at step 63
Considering Position <4, 29> at step 63
Considering Position <1, 17> at step 64
Considering Position <2, 16> at step 64
Considering Position <1, 24> at step 65
Considering Position <5, 24> at step 66
Considering Position <4, 25> at step 66
Considering Position <1, 22> at step 67
Considering Position <2, 21> at step 67
Considering Position <5, 29> at step 68
Considering Position <4, 28> at step 68
Considering Position <5, 28> at step 69
Considering Position <4, 27> at step 69
Considering Position <5, 18> at step 71
Considering Position <5, 27> at step 72
Considering Position <4, 26> at step 72
Considering Position <5, 14> at step 74
Considering Position <5, 26> at step 75
Considering Position <4, 25> at step 75
Considering Position <5, 21> at step 76
Considering Position <4, 20> at step 76
Considering Position <1, 16> at step 77
Considering Position <5, 25> at step 78
Considering Position <5, 20> at step 79
Considering Position <1, 26> at step 80
Considering Position <0, 25> at step 80
Considering Position <1, 24> at step 80
Considering Position <1, 30> at step 81
Considering Position <6, 16> at step 82
Considering Position <5, 17> at step 82
Considering Position <6, 25> at step 83
Considering Position <5, 26> at step 83
Considering Position <5, 24> at step 83
Considering Position <5, 21> at step 84
Considering Position <6, 22> at step 85
Considering Position <5, 21> at step 85
Considering Position <0, 26> at step 86
Considering Position <1, 24> at step 87
Considering Position <0, 23> at step 87
Considering Position <1, 22> at step 87
Considering Position <6, 32> at step 88
Considering Position <5, 33> at step 88
Considering Position <5, 31> at step 88
Considering Position <5, 34> at step 89
Considering Position <0, 34> at step 90
Considering Position <6, 17> at step 91
Considering Position <5, 18> at step 91
Considering Position <4, 35> at step 92
Considering Position <3, 36> at step 92
Considering Position <3, 34> at step 92
Considering Position <6, 34> at step 93
Considering Position <5, 35> at step 93
Considering Position <5, 30> at step 94
Considering Position <4, 36> at step 95
Considering Position <3, 37> at step 95
Considering Position <5, 36> at step 96
Considering Position <4, 35> at step 96
Considering Position <3, 38> at step 97
Considering Position <2, 37> at step 97
Considering Position <6, 36> at step 98
Considering Position <5, 37> at step 98
Considering Position <4, 36> at step 98
Considering Position <4, 38> at step 99
Considering Position <3, 39> at step 99
Considering Position <2, 38> at step 99
Considering Position <6, 30> at step 100
